Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12
422.5065257999813,3.5999,3.6033,3.6044,3.6039,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.5356759999413,3.5999,3.6033,3.6045,3.6038,3.6015,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.5515530999983,3.5998,3.6032,3.6044,3.6038,3.6016,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.5676886999281,3.5998,3.6032,3.6046,3.6038,3.6013,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.58361789991613,3.5997,3.6032,3.6045,3.6037,3.6015,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.5995650999248,3.5998,3.6034,3.6043,3.6037,3.6013,3.6026,0.0,0.0,0.0,0.0,0.0,0.0
422.61557369993534,3.5997,3.6034,3.6045,3.6038,3.6015,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.6315617999062,3.5999,3.6033,3.6046,3.6038,3.6015,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.6477530999109,3.5999,3.6032,3.6045,3.6037,3.6015,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
422.66562169999816,3.5998,3.6033,3.6044,3.6038,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.6809795999434,3.5998,3.6032,3.6044,3.6039,3.6015,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.6965768999653,3.5999,3.6032,3.6046,3.6037,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.71386589994654,3.5998,3.6032,3.6046,3.604,3.6014,3.603,0.0,0.0,0.0,0.0,0.0,0.0
422.7438652999699,3.5999,3.6034,3.6045,3.6038,3.6014,3.6029,0.0,0.0001,0.0,0.0,0.0,0.0
422.7598410999635,3.5999,3.6033,3.6046,3.6039,3.6014,3.6029,0.0,0.0,0.0,0.0001,0.0,0.0
422.7759043999249,3.5998,3.6033,3.6043,3.6038,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.79230289999396,3.5998,3.6033,3.6046,3.6039,3.6014,3.6028,0.0,0.0,0.0,0.0002,0.0,0.0
422.8078223998891,3.5998,3.6032,3.6044,3.6038,3.6013,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.8237796999747,3.5997,3.6031,3.6044,3.6039,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.84034729993436,3.5998,3.6032,3.6046,3.6037,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.85569549992215,3.5999,3.6033,3.6045,3.6038,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.87353649991564,3.5998,3.6032,3.6045,3.6038,3.6013,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
422.88971539994236,3.5999,3.6032,3.6045,3.6038,3.6015,3.6028,0.0,0.0,0.0001,0.0,0.0,0.0
422.905807599891,3.5998,3.6032,3.6045,3.6038,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.92349759989884,3.5997,3.6033,3.6045,3.6038,3.6015,3.603,0.0,0.0,0.0,0.0,0.0,0.0
422.95171379996464,3.5999,3.6033,3.6044,3.6038,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.96793229994364,3.5999,3.6033,3.6045,3.6039,3.6014,3.6029,0.0,0.0,0.0001,0.0,0.0,0.0
422.98376939992886,3.5997,3.6032,3.6045,3.604,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
422.9999836999923,3.5997,3.6032,3.6043,3.6039,3.6013,3.603,0.0,0.0,0.0,0.0002,0.0,0.0
423.01588359999005,3.5999,3.6033,3.6047,3.6038,3.6014,3.6029,0.0,0.0,0.0001,0.0,0.0,0.0
423.03171839995775,3.5998,3.6033,3.6044,3.6037,3.6013,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
423.0477675999282,3.5998,3.6032,3.6044,3.6038,3.6013,3.603,0.0,0.0,0.0,0.0,0.0,0.0
423.0638254999649,3.5999,3.6032,3.6045,3.6037,3.6013,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.08181319991127,3.5998,3.6032,3.6045,3.6038,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.11682949995156,3.5998,3.6033,3.6043,3.6037,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.1209992999211,3.5997,3.6033,3.6044,3.6038,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.13173759996425,3.5997,3.6033,3.6044,3.604,3.6015,3.6028,0.0001,0.0,0.0,0.0,0.0,0.0
423.1602245999966,3.5998,3.6032,3.6046,3.6038,3.6013,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.1760008999845,3.5999,3.6033,3.6045,3.6039,3.6015,3.603,0.0,0.0,0.0,0.0,0.0,0.0
423.1923680999316,3.5998,3.6033,3.6047,3.604,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
