2ndRef_1,Temp_1,SC_1
852.5218221999239,65535,23518,10816
852.5363395999884,65535,23515,10815
852.5661731999135,65535,23515,10815
852.5824301999528,65535,23517,10816
852.5984138998901,65535,23517,10815
852.618167599896,65535,23518,10826
852.6340489999857,65535,23518,10816
852.6503620999865,65535,23517,10826
852.6664403999457,65535,23520,10815
852.6810633999994,65535,23519,10817
852.6984186999034,65535,23517,10817
852.7141376999207,65535,23516,10816
852.7311222999124,65535,23517,10818
852.7468311999692,65535,23514,10824
852.7743984999834,65535,23514,10815
852.7902802999597,65535,23515,10815
852.8077932999004,65535,23514,10816
852.8252099999227,65535,23517,10826
852.8423127999995,65535,23517,10817
852.8590067999903,65535,23519,10826
852.8746487998869,65535,23518,10816
852.8983501999173,65535,23518,10826
852.927597599919,65535,23517,10816
852.9303713999689,65535,23518,10815
852.9358123999555,65535,23518,10815
852.9524778999621,65535,23519,10817
852.9825847999891,65535,23518,10815
852.9986383999931,65535,23520,10815
853.0162613999564,65535,23516,10815
853.0338136999635,65535,23517,10815
853.0504941999679,65535,23519,10816
853.0656772999791,65535,23518,10826
853.0819537999341,65535,23518,10817
853.0984581999946,65535,23519,10826
853.1144353999989,65535,23520,10817
853.1307338998886,65535,23515,10817
853.1449949999806,65535,23518,10817
853.1610921999672,65535,23515,10817
853.1904813000001,65535,23517,10814
853.2066656999523,65535,23518,10815
853.2241980999243,65535,23516,10816
853.2430643999251,65535,23517,10815
853.2594679999165,65535,23518,10815
853.2757045999169,65535,23518,10815
853.290724099963,65535,23517,10825
853.3056123999413,65535,23516,10816
853.3224802999757,65535,23518,10816
853.3376824998995,65535,23516,10816
853.3528582999716,65535,23517,10817
853.3699453999288,65535,23517,10816
853.398832899984,65535,23518,10825
853.4152437999146,65535,23516,10815
853.4329181999201,65535,23516,10814
853.4501440998865,65535,23520,10816
853.4663035999984,65535,23516,10826
853.4823176999344,65535,23518,10816
853.4973887999076,65535,23516,10815
853.5135692999465,65535,23518,10827
853.5295921999495,65535,23517,10815
853.5467994998908,65535,23513,10825
853.5631355999503,65535,23516,10817
853.5791319999844,65535,23513,10816
853.6069244999671,65535,23512,10814
853.6228263999801,65535,23513,10817
853.6412356999936,65535,23516,10827
853.6592063999269,65535,23514,10815
853.6750855999999,65535,23514,10817
853.6900200999808,65535,23517,10815
853.706140599912,65535,23516,10815
853.7224694999168,65535,23515,10816
853.7388904999243,65535,23512,10816
853.7546447999775,65535,23515,10818
853.7711071999511,65535,23514,10825
853.7870102999732,65535,23512,10817
853.8149436999811,65535,23513,10818
853.8308402999537,65535,23514,10815
853.8475995999761,65535,23509,10815
853.8653362999903,65535,23513,10816
853.8828424999956,65535,23514,10826
853.8984075998887,65535,23513,10816
853.914607899962,65535,23511,10814
853.9296106999973,65535,23513,10815
853.9455521999625,65535,23513,10815
853.9609604999423,65535,23512,10817
853.9766014999477,65535,23513,10825
853.9935798998922,65535,23515,10817
854.0230128999101,65535,23513,10816
854.0388211999089,65535,23513,10825
854.0562612999929,65535,23514,10816
854.0728567999322,65535,23513,10816
854.0901512999553,65535,23513,10826
854.1060271998867,65535,23513,10816
854.1537855999777,65535,23512,10815
854.1654287999263,65535,23513,10816
854.1671089999145,65535,23514,10815
854.1685803999426,65535,23515,10815
854.1846396999899,65535,23514,10816
854.2005621999269,65535,23513,10817
854.2316698998911,65535,23511,10815
854.2476370999357,65535,23512,10817
854.2651049999986,65535,23514,10815
854.2824917999096,65535,23514,10815
854.2990610999987,65535,23513,10826
854.314986399957,65535,23514,10815
854.3307462999364,65535,23514,10826
854.3450475999853,65535,23513,10815
854.3625217999797,65535,23514,10815
854.3785803999053,65535,23513,10816
854.3942528999178,65535,23513,10815
854.4113507999573,65535,23511,10815
854.4391835998977,65535,23514,10827
854.4551152999047,65535,23512,10814
854.4737905999646,65535,23511,10826
854.491261899937,65535,23511,10816
854.5082166999346,65535,23513,10816
854.5237504999386,65535,23516,10815
854.5397547999164,65535,23514,10817
854.5558954000007,65535,23513,10825
854.5722921999404,65535,23513,10815
854.5880584999686,65535,23515,10825
854.603455799981,65535,23514,10814
854.619857099955,65535,23512,10815
854.6472530999454,65535,23511,10815
854.6631967999274,65535,23515,10826
854.6809524999699,65535,23515,10815
854.698556899908,65535,23512,10815
854.7145502999192,65535,23514,10815
854.7298667998984,65535,23515,10816
854.7469578998862,65535,23517,10817
854.763396199909,65535,23515,10825
854.7789659999544,65535,23516,10817
854.7953523999313,65535,23515,10825
854.811424799962,65535,23513,10815
854.8393359999172,65535,23513,10816
854.8553166999482,65535,23512,10815
854.8712167999474,65535,23512,10816
854.8892505998956,65535,23513,10815
854.9072363999439,65535,23512,10817
854.9239973999793,65535,23513,10814
854.9394204999553,65535,23512,10817
854.9558778998908,65535,23514,10827
854.9715767999878,65535,23512,10816
854.9872564999387,65535,23513,10813
855.0254136999138,65535,23514,10825
855.0436378999148,65535,23513,10815
855.047420799965,65535,23516,10817
